Date,Salesperson,Customer Name,Car Make,Car Model,Car Year,Sale Price,Commission Rate,Commission Earned
2023-01-04,Patrick Harris,Johnny Scott,Ford,Altima,2013,41937,0.09219072181202051,3866.2
2022-06-14,Monica Moore MD,Mary Butler,Nissan,Altima,2018,15983,0.07049522770435404,1126.73
2022-12-14,Roberto Rose,Richard Pierce,Nissan,F-150,2016,38474,0.13443883688865882,5172.4
2022-12-14,Ashley Ramos,Sandra Moore,Chevrolet,Civic,2016,33340,0.11453592158660743,3818.63
2022-09-04,Patrick Harris,Johnny Scott,Ford,Altima,2013,41937,0.09219072181202051,3866.2
2022-09-04,Patrick Harris,Johnny Scott,Ford,Altima,2013,41937,0.09219072181202051,3866.2
2022-12-14,Ashley Ramos,Sandra Moore,Chevrolet,Civic,2016,33340,0.11453592158660743,3818.63
2022-12-14,Ashley Ramos,Sandra Moore,Chevrolet,Civic,2016,33340,0.11453592158660743,3818.63
2022-12-14,Ashley Ramos,Sandra Moore,Chevrolet,Civic,2016,33340,0.11453592158660743,3818.63
2022-12-14,Ashley Ramos,Sandra Moore,Chevrolet,Civic,2016,33340,0.11453592158660743,3818.63
2023-01-20,Karen Johnson,Christopher Smith,Toyota,Camry,2019,27500,0.095,2612.5
2023-02-10,Michael Brown,Emily Davis,Ford,Escape,2020,31000,0.1,3100
2023-03-05,Jennifer Taylor,David Wilson,Chevrolet,Equinox,2017,24000,0.08,1920
2022-12-14,Amanda White,Brian Turner,Ford,Maxima,2018,33000,0.12,3960
